2/12/2021-20:15 159 54 214
2/12/2021-20:15 159 54 214
2/12/2021-20:15 159 54 213
2/12/2021-20:16 159 54 213
2/12/2021-20:16 159 54 213
2/12/2021-20:16 159 54 213
2/12/2021-20:16 159 54 213
2/12/2021-20:17 159 54 214
2/12/2021-20:17 159 54 214
2/12/2021-20:17 160 54 214
2/12/2021-20:18 160 54 215
2/12/2021-20:18 160 54 215
2/12/2021-20:18 161 32 192
2/12/2021-20:18 161 32 193
2/12/2021-20:19 162 48 210
2/12/2021-20:19 162 51 213
2/12/2021-20:19 162 52 213
2/12/2021-20:19 162 55 217
2/12/2021-20:20 162 55 217
2/12/2021-20:20 163 55 217
2/12/2021-20:21 163 52 215
2/12/2021-20:21 163 52 215
2/12/2021-20:21 163 50 213
2/12/2021-20:22 163 49 212
2/12/2021-20:22 163 49 212
2/12/2021-20:22 163 46 209
2/12/2021-20:22 163 46 209
2/12/2021-20:23 164 44 208
2/12/2021-20:23 164 42 206
2/12/2021-20:23 164 41 205
2/12/2021-20:24 164 39 204
2/12/2021-20:24 164 39 203
2/12/2021-20:24 164 39 203
2/12/2021-20:25 165 37 202
2/12/2021-20:25 165 37 202
2/12/2021-20:25 165 36 201
2/12/2021-20:26 165 36 201
2/12/2021-20:26 165 36 201
2/12/2021-20:26 166 35 200
2/12/2021-20:26 166 35 200
2/12/2021-20:27 166 34 200
2/12/2021-20:27 166 34 199
2/12/2021-20:27 166 34 199
2/12/2021-20:27 166 33 199
2/12/2021-20:28 166 33 199
2/12/2021-20:28 166 32 198
2/12/2021-20:28 166 32 198
2/12/2021-20:28 166 32 198
2/12/2021-20:29 167 32 198
2/12/2021-20:29 167 31 198
2/12/2021-20:29 167 31 198
2/12/2021-20:30 167 31 198
2/12/2021-20:30 167 31 198
2/12/2021-20:30 167 31 198
2/12/2021-20:30 167 31 198
2/12/2021-20:31 167 30 198
2/12/2021-20:31 168 30 198
2/12/2021-20:31 168 30 198
2/12/2021-20:31 168 30 197
2/12/2021-20:32 168 30 197
2/12/2021-20:32 168 29 197
2/12/2021-20:32 168 29 197
2/12/2021-20:32 168 29 197
2/12/2021-20:33 168 29 197
2/12/2021-20:33 168 29 197
2/12/2021-20:33 168 29 197
2/12/2021-20:34 168 28 197
2/12/2021-20:34 168 28 197
2/12/2021-20:34 169 28 197
2/12/2021-20:35 169 28 197
2/12/2021-20:35 169 28 197
2/12/2021-20:35 169 28 197
2/12/2021-20:36 169 28 197
2/12/2021-20:36 169 27 197
2/12/2021-20:36 169 27 197
2/12/2021-20:36 169 27 197
2/12/2021-20:37 169 27 197
2/12/2021-20:37 169 27 197
2/12/2021-20:37 170 27 197
2/12/2021-20:38 170 27 197
2/12/2021-20:38 170 27 197
2/12/2021-20:39 170 26 197
2/12/2021-20:39 170 26 196
2/12/2021-20:39 170 26 196
2/12/2021-20:39 170 26 196
2/12/2021-20:40 170 26 197
2/12/2021-20:40 170 26 196
2/12/2021-20:40 170 26 196
2/12/2021-20:40 170 26 196
2/12/2021-20:41 170 26 196
2/12/2021-20:41 170 26 196
2/12/2021-20:41 170 26 196
2/12/2021-20:42 170 26 196
2/12/2021-20:42 170 26 196
2/12/2021-20:42 170 26 196
2/12/2021-20:42 170 26 196
2/12/2021-20:43 170 26 196
2/12/2021-20:43 170 26 196
2/12/2021-20:43 170 25 196
2/12/2021-20:44 170 25 196
2/12/2021-20:44 170 25 196
2/12/2021-20:44 170 25 196
2/12/2021-20:45 170 25 195
2/12/2021-20:45 170 25 195
2/12/2021-20:45 171 25 196
2/12/2021-20:46 171 25 195
2/12/2021-20:46 171 25 196
2/12/2021-20:46 171 25 195
2/12/2021-20:46 171 25 195
2/12/2021-20:47 171 25 195
2/12/2021-20:47 171 25 195
2/12/2021-20:47 171 25 195
2/12/2021-20:47 171 25 195
2/12/2021-20:48 171 24 195
2/12/2021-20:48 171 24 195
2/12/2021-20:48 171 24 195
2/12/2021-20:49 171 24 195
2/12/2021-20:49 171 24 195
2/12/2021-20:49 171 24 195
2/12/2021-20:50 171 24 195
2/12/2021-20:50 171 24 195
2/12/2021-20:50 171 24 195
2/12/2021-20:50 171 24 195
2/12/2021-20:51 171 24 195
2/12/2021-20:51 171 24 195
2/12/2021-20:51 171 24 195
2/12/2021-20:51 171 24 195
2/12/2021-20:52 171 24 195
2/12/2021-20:52 171 24 195
2/12/2021-20:52 171 24 195
2/12/2021-20:52 171 24 195
2/12/2021-20:53 171 24 194
2/12/2021-20:53 171 24 194
2/12/2021-20:53 171 24 194
2/12/2021-20:54 171 24 194
2/12/2021-20:54 171 23 194
2/12/2021-20:54 171 23 194
2/12/2021-20:55 171 23 194
2/12/2021-20:55 171 23 194
2/12/2021-20:55 171 23 194
2/12/2021-20:55 171 23 194
2/12/2021-20:56 171 23 194
2/12/2021-20:56 171 23 194
2/12/2021-20:56 171 23 194
2/12/2021-20:56 171 23 194
2/12/2021-20:57 170 23 193
2/12/2021-20:57 170 23 193
2/12/2021-20:58 170 23 193
2/12/2021-20:58 170 23 193
2/12/2021-20:58 170 23 193
2/12/2021-20:59 170 23 193
2/12/2021-20:59 170 23 193
2/12/2021-21:0 170 23 193
2/12/2021-21:0 170 23 193
2/12/2021-21:1 170 22 192
2/12/2021-21:1 170 22 192
2/12/2021-21:1 170 22 192
2/12/2021-21:2 170 22 192
2/12/2021-21:2 170 22 192
2/12/2021-21:2 170 22 192
2/12/2021-21:3 170 22 192
2/12/2021-21:4 170 22 192
2/12/2021-21:4 169 22 192
2/12/2021-21:4 169 22 192
2/12/2021-21:5 169 22 192
2/12/2021-21:5 169 22 191
2/12/2021-21:5 169 22 191
2/12/2021-21:6 169 22 191
2/12/2021-21:6 169 22 191
2/12/2021-21:7 169 22 191
2/12/2021-21:7 169 22 191
2/12/2021-21:7 169 22 191
2/12/2021-21:7 169 22 191
2/12/2021-21:8 169 22 191
2/12/2021-21:8 169 22 191
2/12/2021-21:8 169 22 191
2/12/2021-21:9 169 22 191
2/12/2021-21:9 169 22 190
